Program Index,Program,Program Type,File Reference Type,DDS File,File Usage,Access Type,Device Type,Source File
7899,PDXWPFR,RPG,Database File,POBCCPL1IF,Unknown,Full Procedural,DISK,PDXWPFR_RPG.txt
7899,PDXWPFR,RPG,Database File,OMFLCPL2IF,Unknown,Full Procedural,DISK,PDXWPFR_RPG.txt
7899,PDXWPFR,RPG,Database File,PNFWCPL0IF,Unknown,Full Procedural,DISK,PDXWPFR_RPG.txt
7903,PDXXDFR,RPG,Database File,OPBFCPMDIF,Unknown,Full Procedural,DISK,PDXXDFR_RPG.txt
7904,PDXXPFR,RPG,Database File,CADNREL2IF,Unknown,Full Procedural,DISK,PDXXPFR.txt
7904,PDXXPFR,RPG,Database File,ARBCREL6IF,Unknown,Full Procedural,DISK,PDXXPFR.txt
7904,PDXXPFR,RPG,Database File,CAABREL3IF,Unknown,Full Procedural,DISK,PDXXPFR.txt
7904,PDXXPFR,RPG,Database File,ARBCREL1IF,Unknown,Full Procedural,DISK,PDXXPFR.txt
7904,PDXXPFR,RPG,Database File,CAASREL2IF,Unknown,Full Procedural,DISK,PDXXPFR.txt
7904,PDXXPFR,RPG,Database File,CABBREL1IF,Unknown,Full Procedural,DISK,PDXXPFR.txt
7904,PDXXPFR,RPG,Database File,CAEOREL1IF,Unknown,Full Procedural,DISK,PDXXPFR.txt
7904,PDXXPFR,RPG,Database File,CABBRELAIF,Unknown,Full Procedural,DISK,PDXXPFR.txt
7904,PDXXPFR,RPG,Database File,ARBDCPL6IF,Unknown,Full Procedural,DISK,PDXXPFR.txt
7904,PDXXPFR,RPG,Database File,OPBFCPLWIF,Unknown,Full Procedural,DISK,PDXXPFR.txt
7908,PDXYDFR,RPG,Database File,OPBFCPMDIF,Unknown,Full Procedural,DISK,PDXYDFR_RPG.txt
7908,PDXYDFR,RPG,Database File,OPBGWKLAIF,Unknown,Full Procedural,DISK,PDXYDFR_RPG.txt
7908,PDXYDFR,RPG,Database File,OPEYCPL1IF,Unknown,Full Procedural,DISK,PDXYDFR_RPG.txt
7908,PDXYDFR,RPG,Database File,OPBGWKL0UF,Unknown,Full Procedural,DISK,PDXYDFR_RPG.txt
7908,PDXYDFR,RPG,Database File,OPEYCPL0IF,Unknown,Full Procedural,DISK,PDXYDFR_RPG.txt
7908,PDXYDFR,RPG,Database File,OPBFCPL0UF,Unknown,Full Procedural,DISK,PDXYDFR_RPG.txt
7908,PDXYDFR,RPG,Database File,PDMKCPL0UF,Unknown,Full Procedural,DISK,PDXYDFR_RPG.txt
7911,PDXYPFR,RPG,Database File,CADNREL2IF,Unknown,Full Procedural,DISK,PDXYPFR_RPG.txt
7911,PDXYPFR,RPG,Database File,PDI9CPL2IF,Unknown,Full Procedural,DISK,PDXYPFR_RPG.txt
